scc_size,number_of_edges_inside_scc,number_of_edges_to_other_sccs,scc_largest_path_sum,scc_longest_dfs_path,outdegree_inside_scc,outdegree_outside_scc,indegree_inside_scc,longest_path_using_dfs_paths,first_dfs_path_used,longest_path
1,0,1,291,1,0,1,0,291,1,289
21,420,22,69,21,20,1,20,66,18,67
10,19,0,10,7,3,0,1,7,7,8
1,0,1,50,1,0,1,0,50,1,49
1,0,1,10,1,0,1,0,10,1,9
120,14280,121,127,120,119,1,119,54,47,125
1,0,1,53,1,0,1,0,53,1,52
9,15,6,10,9,2,0,2,9,8,9
1,0,1,8,1,0,1,0,8,1,7
1,0,1,255,1,0,1,0,255,1,253
8,15,7,11,8,2,0,3,10,7,10
7,11,2,8,7,2,0,1,6,5,7
9,15,1,10,8,1,0,2,8,7,8
13,30,0,13,12,3,0,3,7,7,12
10,19,2,11,9,2,0,3,7,6,9
13,35,4,14,12,3,0,4,6,5,14
1,0,1,97,1,0,1,0,97,1,96
7,9,3,9,7,1,0,1,7,5,7
1,0,1,201,1,0,1,0,201,1,199
1,0,1,40,1,0,1,0,40,1,38
1,0,1,44,1,0,1,0,44,1,43
1,0,1,70,1,0,1,0,70,1,68
1,0,1,14,1,0,1,0,14,1,13
1,0,1,7,1,0,1,0,7,1,6
9,19,4,11,9,3,0,2,8,6,11
28,756,29,55,28,27,1,27,42,15,53
6,8,5,10,6,1,1,2,8,4,8
10,23,2,12,9,2,0,1,10,8,12
1,0,1,45,1,0,1,0,45,1,44
60,3540,61,202,60,59,1,59,185,43,200
1,0,1,93,1,0,1,0,93,1,92
1,0,1,68,1,0,1,0,68,1,67
67,4422,68,96,67,66,1,66,84,55,94
11,24,1,12,10,2,0,3,6,5,10
79,6162,80,171,79,78,1,78,104,12,169
1,0,1,220,1,0,1,0,220,1,218
9,18,1,10,8,2,0,1,8,8,8
75,5550,76,109,75,74,1,74,62,28,107
1,0,1,25,1,0,1,0,25,1,24
64,4032,65,95,64,63,1,63,58,27,93
31,930,32,174,31,30,1,30,160,17,172
1,0,1,155,1,0,1,0,155,1,153
1,0,1,68,1,0,1,0,68,1,66
9,19,3,11,8,1,0,3,8,7,8
1,0,1,68,1,0,1,0,68,1,67
10,22,1,11,8,3,0,3,5,4,6
1,0,1,61,1,0,1,0,61,1,60
1,0,1,30,1,0,1,0,30,1,29
10,23,2,11,10,3,0,2,7,6,10
7,14,5,9,7,1,0,3,8,7,8
1,0,1,22,1,0,1,0,22,1,21
11,23,3,12,11,2,0,3,11,11,11
1,0,1,142,1,0,1,0,142,1,140
1,0,1,217,1,0,1,0,217,1,215
1,0,1,28,1,0,1,0,28,1,27
101,10100,102,165,101,100,1,100,95,31,163
1,0,1,228,1,0,1,0,228,1,226
11,21,2,12,10,2,0,2,6,6,10
21,420,22,82,21,20,1,20,76,15,80
10,20,5,11,10,2,0,4,10,10,10
1,0,1,82,1,0,1,0,82,1,81
9,18,6,10,7,2,0,2,8,7,9
6,10,4,9,5,1,0,1,6,3,6
130,16770,131,202,130,129,1,129,158,86,200
8,13,6,9,8,1,0,2,8,7,8
9,16,1,10,8,2,0,2,7,7,9
95,8930,96,238,95,94,1,94,195,52,236
1,0,1,156,1,0,1,0,156,1,154
88,7656,89,111,88,87,1,87,98,75,109
10,22,4,12,10,2,0,3,11,9,11
24,552,25,37,24,23,1,23,35,22,35
9,19,4,11,8,2,0,2,8,6,10
58,3306,59,144,58,57,1,57,107,21,142
1,0,1,240,1,0,1,0,240,1,238
84,6972,85,148,84,83,1,83,67,3,146
1,0,1,220,1,0,1,0,220,1,218
1,0,1,28,1,0,1,0,28,1,27
107,11342,108,193,107,106,2,106,193,107,191
72,5112,73,120,72,71,1,71,66,18,118
10,19,2,11,8,3,0,1,9,8,10
37,1332,38,98,37,36,1,36,77,16,96
8,16,2,10,8,3,0,2,6,4,10
12,26,7,14,11,2,0,2,11,9,12
10,20,1,11,10,1,0,3,9,9,9
11,24,3,13,10,2,0,3,9,7,11
60,3540,61,137,60,59,2,59,137,60,135
42,1722,43,79,42,41,1,41,73,36,77
14,36,0,14,11,3,0,3,6,6,14
1,0,1,29,1,0,1,0,29,1,28
1,0,1,131,1,0,1,0,131,1,129
12,26,2,13,11,1,0,3,10,10,10
27,702,28,80,27,26,1,26,60,7,78
10,21,0,10,10,3,0,3,7,7,10
1,0,1,48,1,0,1,0,48,1,47
108,11556,109,173,108,107,1,107,110,45,171
11,26,3,12,10,2,0,4,10,9,11
6,9,2,7,6,2,0,2,6,6,6
10,25,1,11,10,2,0,2,10,9,10
12,30,0,12,9,2,0,3,8,8,10
1,0,1,42,1,0,1,0,42,1,41
1,0,1,52,1,0,1,0,52,1,51
10,23,1,11,10,2,0,4,10,10,11
8,15,4,10,7,1,0,1,7,5,7
2,2,5,10,2,1,1,1,9,2,9
135,18090,136,277,135,134,1,134,268,126,275
1,0,1,58,1,0,1,0,58,1,56
1,0,1,128,1,0,1,0,128,1,126
9,17,3,11,9,1,0,3,8,8,8
9,18,5,11,9,1,0,3,10,9,10
1,0,1,209,1,0,1,0,209,1,207
60,3540,61,202,60,59,1,59,172,30,200
1,0,1,292,1,0,1,0,292,1,290
1,0,1,182,1,0,1,0,182,1,180
3,3,3,9,3,1,1,1,8,3,8
1,0,1,142,1,0,1,0,142,1,140
11,23,2,12,11,1,0,2,11,11,12
1,0,1,182,1,0,1,0,182,1,180
9,18,2,11,9,3,0,3,9,7,9
11,24,3,13,10,2,0,3,10,8,12
96,9120,97,136,96,95,1,95,129,89,134
67,4422,68,122,67,66,1,66,73,18,120
1,0,1,19,1,0,1,0,19,1,18
7,13,2,8,7,3,0,3,5,5,7
1,0,1,35,1,0,1,0,35,1,34
1,0,1,67,1,0,1,0,67,1,66
9,17,3,11,7,3,0,1,6,4,8
10,20,2,12,10,3,0,2,6,4,11
1,0,1,180,1,0,1,0,180,1,179
1,0,1,147,1,0,1,0,147,1,145
108,11556,109,207,108,107,1,107,158,59,205
12,29,0,12,11,1,0,3,10,10,10
68,4556,69,92,68,67,1,67,58,34,90
1,0,1,57,1,0,1,0,57,1,56
100,9900,101,168,100,99,1,99,92,24,166
11,24,3,13,9,2,0,3,9,7,10
1,0,1,82,1,0,1,0,82,1,81
12,27,1,13,11,2,0,3,9,8,12
1,0,1,6,1,0,1,0,6,1,5
65,4160,66,93,65,64,1,64,68,40,91
1,0,1,200,1,0,1,0,200,1,198
1,0,1,93,1,0,1,0,93,1,91
1,0,1,41,1,0,1,0,41,1,40
9,16,3,11,9,1,0,3,9,8,9
9,17,5,12,9,2,0,2,8,5,10
125,15500,126,139,125,124,1,124,85,71,137
10,21,0,10,8,2,0,2,7,7,8
12,26,3,14,12,2,0,3,12,12,12
11,20,1,12,11,1,0,2,11,11,11
11,24,6,13,9,1,0,3,9,8,11
15,39,1,16,14,3,0,4,8,8,14
1,0,1,51,1,0,1,0,51,1,50
13,31,0,13,12,3,0,2,9,9,12
8,15,1,9,7,2,0,1,7,7,8
1,0,1,70,1,0,1,0,70,1,69
1,0,2,10,1,0,2,0,8,1,8
117,13572,118,144,117,116,1,116,45,18,142
8,15,4,10,8,2,0,3,8,6,10
12,28,3,14,10,2,0,2,9,7,11
1,0,1,112,1,0,1,0,112,1,111
86,7310,87,148,86,85,1,85,112,50,146
1,0,1,99,1,0,1,0,99,1,98
1,0,1,75,1,0,1,0,75,1,74
1,0,1,133,1,0,1,0,133,1,131
9,16,1,10,9,2,0,2,8,8,8
7,12,4,8,7,2,0,3,6,5,6
9,16,4,11,9,2,0,2,9,7,9
1,0,1,26,1,0,1,0,26,1,24
11,25,3,12,10,2,0,4,10,9,12
9,17,0,9,7,3,0,1,7,7,8
1,0,1,141,1,0,1,0,141,1,139
9,17,3,10,9,3,0,1,6,6,10
79,6162,80,188,79,78,1,78,132,23,186
73,5256,74,197,73,72,1,72,149,25,195
1,0,1,131,1,0,1,0,131,1,129
1,0,1,32,1,0,1,0,32,1,31
1,0,1,74,1,0,1,0,74,1,73
9,20,3,10,9,3,0,2,7,6,10
1,0,1,20,1,0,1,0,20,1,19
7,12,2,8,6,1,0,3,6,5,6
11,26,2,12,10,1,0,3,11,10,11
1,0,1,115,1,0,1,0,115,1,114
4,6,2,6,4,2,0,2,5,3,5
6,9,3,8,6,2,0,2,6,4,7
50,2450,51,188,50,49,1,49,141,3,186
1,0,1,48,1,0,1,0,48,1,47
1,0,1,28,1,0,1,0,28,1,27
1,0,1,6,1,0,1,0,6,1,5
1,0,1,17,1,0,1,0,17,1,16
1,0,1,4,1,0,1,0,4,1,3
115,13110,116,262,115,114,1,114,192,45,260
1,0,1,57,1,0,1,0,57,1,56
1,0,1,219,1,0,1,0,219,1,217
23,506,24,52,23,22,1,22,45,16,50
10,18,2,11,9,1,0,2,8,8,8
75,5550,76,174,75,74,1,74,162,63,172
2,2,3,5,2,1,0,1,4,2,4
13,33,4,15,13,3,0,4,8,6,14
11,26,3,12,10,3,0,2,7,7,11
11,22,2,12,10,3,0,3,7,7,9
7,12,2,8,6,2,0,2,6,5,6
1,0,1,60,1,0,1,0,60,1,58
1,0,1,232,1,0,1,0,232,1,230
12,29,3,14,11,3,0,2,10,8,11
1,0,1,183,1,0,1,0,183,1,181
1,0,1,161,1,0,1,0,161,1,159
10,19,1,11,10,1,0,2,10,10,10
13,34,3,14,13,2,0,4,13,12,14
9,15,2,11,8,1,0,3,5,4,5
1,0,1,69,1,0,1,0,69,1,68
1,0,1,31,1,0,1,0,31,1,30
1,0,1,70,1,0,1,0,70,1,69
1,0,1,128,1,0,1,0,128,1,127
13,30,3,15,13,3,0,3,6,4,14
7,12,5,11,7,1,0,3,8,6,8
1,0,1,193,1,0,1,0,193,1,192
9,16,2,10,8,1,0,2,7,6,7
13,37,3,14,13,2,0,4,12,11,13
7,11,5,10,7,1,0,2,9,7,9
13,32,0,13,13,3,0,2,6,6,13
1,0,1,25,1,0,1,0,25,1,24
9,15,3,10,8,2,0,3,7,6,7
11,25,3,13,11,3,0,3,7,7,10
7,13,3,9,7,2,0,3,7,6,7
9,17,2,10,9,1,0,3,9,8,9
1,0,1,103,1,0,1,0,103,1,101
1,0,1,2,1,0,1,0,2,1,1
54,2862,55,145,54,53,1,53,93,2,143
5,8,4,9,5,1,0,2,8,4,8
16,240,17,20,16,15,1,15,17,13,18
11,25,3,13,10,3,0,3,5,3,11
1,0,1,33,1,0,1,0,33,1,31
7,14,3,8,7,2,0,4,7,6,7
1,0,1,54,1,0,1,0,54,1,53
15,43,0,15,14,3,0,4,9,9,14
68,4556,69,92,68,67,1,67,38,14,90
58,3306,59,147,58,57,1,57,116,27,145
15,44,4,16,15,3,0,4,10,10,15
8,15,3,9,8,1,0,3,7,6,7
1,0,1,32,1,0,1,0,32,1,31
9,18,1,10,9,3,0,4,5,4,8
15,210,16,40,15,14,2,14,40,15,38
1,0,1,81,1,0,1,0,81,1,79
36,1260,37,202,36,35,1,35,196,30,200
1,0,2,112,1,0,2,0,112,1,111
1,0,1,71,1,0,1,0,71,1,70
5,7,5,7,5,1,0,3,6,4,6
1,0,1,110,1,0,1,0,110,1,109
11,26,5,14,10,2,0,3,12,9,12
1,0,1,20,1,0,1,0,20,1,19
13,29,5,15,12,1,0,2,12,11,14
1,0,1,89,1,0,1,0,89,1,87
12,29,1,13,11,1,0,4,10,10,10
1,0,1,36,1,0,1,0,36,1,35
1,0,1,62,1,0,1,0,62,1,61
11,24,0,11,9,2,0,2,8,8,8
8,15,5,10,8,2,0,3,8,7,8
7,12,0,7,6,3,0,1,6,6,7
1,0,1,99,1,0,1,0,99,1,97
1,0,1,35,1,0,1,0,35,1,34
14,39,4,16,14,3,0,3,7,5,16
13,30,0,13,12,2,0,3,12,12,12
79,6162,80,188,79,78,1,78,147,38,186
1,0,1,61,1,0,1,0,61,1,60
7,12,4,10,7,2,1,3,8,5,9
6,9,2,7,6,1,0,2,6,5,6
1,0,1,30,1,0,1,0,30,1,29
5,7,6,11,5,1,1,3,8,4,8
1,0,1,28,1,0,1,0,28,1,27
10,22,1,11,9,2,0,2,8,8,9
1,0,1,58,1,0,1,0,58,1,57
9,18,1,10,9,2,0,3,9,9,9
9,19,4,10,9,2,0,4,7,6,9
1,0,1,89,1,0,1,0,89,1,87
1,0,1,32,1,0,1,0,32,1,31
1,0,1,209,1,0,1,0,209,1,207
10,21,2,11,10,2,0,3,6,5,10
1,0,1,150,1,0,1,0,150,1,148
11,28,5,12,11,3,0,4,7,7,12
12,27,2,13,11,2,0,2,11,11,12
1,0,1,57,1,0,1,0,57,1,56
1,0,1,21,1,0,1,0,21,1,20
16,240,17,31,16,15,1,15,21,6,29
1,0,1,24,1,0,1,0,24,1,23
1,0,1,219,1,0,1,0,219,1,217
1,0,1,34,1,0,1,0,34,1,33
1,0,1,105,1,0,1,0,105,1,104
84,6972,85,193,84,83,1,83,145,36,191
10,20,2,11,9,1,0,1,9,8,9
1,0,1,60,1,0,1,0,60,1,59
12,30,3,13,11,1,0,2,12,11,13
67,4422,68,99,67,66,1,66,34,2,97
1,0,1,65,1,0,1,0,65,1,63
39,1482,40,124,39,38,1,38,98,13,122
1,0,1,151,1,0,1,0,151,1,149
9,17,2,10,9,2,0,2,8,8,8
1,0,1,21,1,0,1,0,21,1,19
11,24,2,13,9,2,0,3,8,6,12
1,0,1,3,1,0,1,0,3,1,2
135,18090,136,148,135,134,1,134,79,66,146
10,19,3,11,9,1,0,2,9,8,10
1,0,1,36,1,0,1,0,36,1,35
11,25,1,12,10,1,0,2,11,10,12
1,0,1,292,1,0,1,0,292,1,290
12,29,2,13,11,1,0,2,9,8,11
14,39,3,16,14,3,0,4,8,6,16
12,27,2,13,11,3,0,2,8,7,13
11,20,3,12,10,1,0,3,7,7,9
12,27,4,14,11,1,0,3,12,10,12
10,22,2,11,9,3,0,3,6,6,10
10,19,0,10,10,2,0,2,7,7,9
1,0,1,16,1,0,1,0,16,1,15
1,0,1,17,1,0,1,0,17,1,16
1,0,1,164,1,0,1,0,164,1,162
1,0,1,80,1,0,1,0,80,1,78
1,0,1,75,1,0,1,0,75,1,74
13,32,2,14,11,2,0,3,10,9,12
9,18,2,10,9,1,0,3,9,8,9
51,2550,52,64,51,50,1,50,52,39,62
133,17556,134,194,133,132,1,132,85,24,192
12,132,13,46,12,11,1,11,45,11,44
43,1806,44,65,43,42,1,42,60,38,63
1,0,1,35,1,0,1,0,35,1,34
12,29,2,13,11,1,0,3,11,10,12
1,0,1,24,1,0,1,0,24,1,23
9,17,1,10,8,1,0,1,8,8,8
1,0,1,154,1,0,1,0,154,1,152
1,0,1,68,1,0,1,0,68,1,67
9,13,2,10,8,1,0,1,8,7,8
10,20,0,10,7,1,0,2,6,6,7
1,0,1,7,1,0,1,0,7,1,6
1,0,1,33,1,0,1,0,33,1,32
1,0,1,8,1,0,1,0,6,1,6
11,26,2,12,10,2,0,2,8,8,11
10,19,0,10,9,1,0,2,8,8,8
12,30,1,13,12,3,0,2,7,7,12
8,14,2,9,8,1,0,1,7,6,7
121,14520,122,248,121,120,1,120,248,121,246
11,25,4,13,11,1,0,3,12,10,12
10,21,0,10,9,3,0,1,8,8,9
126,15750,127,212,126,125,1,125,107,21,210
31,930,32,166,31,30,1,30,146,11,164
1,0,1,22,1,0,1,0,22,1,21
11,25,4,13,11,2,0,3,12,10,12
1,0,1,44,1,0,1,0,44,1,43
1,0,1,93,1,0,1,0,93,1,92
10,21,3,11,8,2,0,2,9,8,10
1,0,1,61,1,0,1,0,61,1,60
5,7,3,8,5,2,0,1,7,4,7
1,0,1,27,1,0,1,0,27,1,26
1,0,1,85,1,0,1,0,85,1,83
17,272,18,93,17,16,1,16,78,2,91
4,5,3,8,4,1,0,2,7,4,7
12,25,4,14,11,3,0,3,7,7,11
1,0,1,53,1,0,1,0,53,1,51
7,12,4,9,7,1,0,2,7,6,7
1,0,1,74,1,0,1,0,74,1,73
1,0,1,44,1,0,1,0,44,1,43
10,19,4,12,10,3,0,2,6,4,11
1,0,1,64,1,0,1,0,64,1,63
1,0,1,173,1,0,1,0,173,1,171
126,15750,127,212,126,125,1,125,115,29,210
9,14,2,11,9,1,0,2,9,9,9
1,0,1,252,1,0,1,0,252,1,250
1,0,1,226,1,0,1,0,226,1,224
11,26,4,13,11,2,0,3,11,9,12
10,21,4,12,9,2,0,3,11,9,11
79,6162,80,188,79,78,1,78,162,53,186
1,0,1,32,1,0,1,0,32,1,31
1,0,1,175,1,0,1,0,175,1,173
135,18090,136,277,135,134,1,134,232,90,275
1,0,1,167,1,0,1,0,167,1,165
6,9,6,9,6,2,1,2,7,4,7
112,12432,113,262,112,111,1,111,220,70,260
8,17,5,10,7,2,0,4,9,7,9
12,25,1,13,9,2,0,2,8,8,10
118,13806,119,241,118,117,1,117,149,26,239
11,22,2,12,10,2,0,3,10,10,11
1,0,1,35,1,0,1,0,35,1,34
10,21,2,11,9,1,0,2,8,7,9
1,0,1,108,1,0,1,0,108,1,106
1,0,1,17,1,0,1,0,17,1,16
13,34,3,14,12,2,0,4,11,10,13
87,7482,88,99,87,86,1,86,52,40,97
10,20,8,12,8,1,0,3,9,7,9
1,0,2,7,1,0,2,0,6,1,6
129,16512,130,289,129,128,1,128,247,87,287
1,0,1,108,1,0,1,0,108,1,107
7,12,3,10,6,1,0,1,7,4,10
6,8,8,10,6,1,1,2,9,6,9
1,0,1,26,1,0,1,0,26,1,25
65,4160,66,145,65,64,1,64,89,9,143
85,7140,86,156,85,84,1,84,120,49,154
12,32,3,13,11,3,0,3,6,6,12
1,0,1,2,1,0,1,0,2,1,1
8,11,4,9,8,1,0,1,7,6,7
1,0,1,235,1,0,1,0,235,1,233
1,0,1,92,1,0,1,0,92,1,90
1,0,1,25,1,0,1,0,25,1,24
12,30,4,14,10,2,0,4,10,8,12
1,0,1,94,1,0,1,0,94,1,93
9,18,1,10,8,3,0,3,6,6,9
1,0,1,31,1,0,1,0,31,1,30
2,2,4,10,2,1,0,1,9,2,9
1,0,1,69,1,0,1,0,69,1,68
1,0,1,65,1,0,1,0,65,1,63
1,0,1,72,1,0,1,0,72,1,71
11,24,2,12,8,3,0,1,6,6,9
1,0,1,297,1,0,1,0,297,1,295
11,22,3,12,11,1,0,3,10,9,11
6,10,1,7,6,2,0,2,6,6,6
1,0,1,264,1,0,1,0,264,1,262
12,21,3,13,10,1,0,3,9,8,9
1,0,1,98,1,0,1,0,98,1,96
8,13,0,8,7,1,0,2,7,7,7
1,0,1,15,1,0,1,0,15,1,14
1,0,1,88,1,0,1,0,88,1,87
1,0,1,188,1,0,1,0,188,1,186
1,0,1,3,1,0,1,0,3,1,2
93,8556,94,161,93,92,1,92,133,65,159
88,7656,89,111,88,87,1,87,32,9,109
1,0,1,154,1,0,1,0,154,1,152
8,14,2,9,7,2,0,2,7,6,7
1,0,1,16,1,0,1,0,16,1,15
10,23,1,11,10,1,1,2,9,9,9
1,0,1,80,1,0,1,0,80,1,79
9,18,3,10,8,2,0,3,9,8,9
8,14,3,9,7,2,0,1,7,6,8
12,26,1,13,11,2,0,2,8,8,12
1,0,1,57,1,0,1,0,57,1,56
1,0,1,184,1,0,1,0,184,1,183
35,1190,36,69,35,34,1,34,55,21,67
1,0,1,146,1,0,1,0,146,1,145
1,0,1,23,1,0,1,0,23,1,22
12,30,0,12,12,3,0,4,8,8,11
9,19,2,10,9,3,0,2,6,6,9
8,14,1,9,8,1,1,1,8,8,8
1,0,1,5,1,0,1,0,5,1,4
1,0,1,96,1,0,1,0,96,1,94
77,5852,78,114,77,76,1,76,39,2,112
10,21,2,12,9,2,0,3,7,5,10
1,0,1,154,1,0,1,0,154,1,152
1,0,1,218,1,0,1,0,218,1,216
1,0,1,5,1,0,1,0,5,1,4
1,0,1,197,1,0,1,0,197,1,195
1,0,1,4,1,0,1,0,4,1,3
6,7,6,8,6,1,0,1,7,5,7
1,0,1,93,1,0,1,0,93,1,91
1,0,1,167,1,0,1,0,167,1,166
1,0,1,46,1,0,1,0,46,1,44
1,0,1,68,1,0,1,0,68,1,67
11,26,5,13,11,3,0,4,7,7,13
1,0,1,81,1,0,1,0,81,1,80
1,0,1,14,1,0,1,0,14,1,13
8,15,3,9,8,1,0,3,7,6,7
10,21,1,11,9,2,0,3,9,9,9
9,18,0,9,8,2,0,2,7,7,8
12,29,3,13,12,3,0,3,10,10,12
10,20,3,12,9,3,0,3,9,7,10
12,31,1,13,11,2,0,3,11,11,12
1,0,1,51,1,0,1,0,51,1,49
1,0,1,26,1,0,1,0,26,1,25
12,28,4,13,10,3,0,3,7,7,11
50,2450,51,77,50,49,1,49,61,34,75
7,11,7,11,7,1,0,2,10,7,10
1,0,1,55,1,0,1,0,55,1,54
1,0,1,134,1,0,1,0,134,1,132
13,34,1,14,11,3,0,3,5,4,12
55,2970,56,134,55,54,1,54,109,30,132
1,0,1,17,1,0,1,0,17,1,16
1,0,1,107,1,0,1,0,107,1,105
1,0,1,128,1,0,1,0,128,1,126
1,0,1,67,1,0,1,0,67,1,65
14,32,0,14,11,3,0,4,6,6,12
12,28,2,13,10,3,0,4,6,5,11
1,0,1,151,1,0,1,0,151,1,149
5,7,3,6,5,1,0,1,5,4,5
14,36,3,16,13,2,0,2,7,5,14
12,30,1,13,10,2,0,4,10,10,12
5,7,6,8,5,1,0,3,7,4,7
8,15,7,12,8,2,1,4,10,6,10
8,14,4,10,8,2,0,3,9,7,9
1,0,1,2,1,0,1,0,2,1,1
152,22952,153,284,152,151,1,151,242,110,282
1,0,1,116,1,0,1,0,116,1,114
1,0,1,214,1,0,1,0,214,1,212
1,0,1,25,1,0,1,0,25,1,24
1,0,1,43,1,0,1,0,43,1,42
12,28,3,14,12,3,0,3,8,8,13
10,17,1,11,8,2,0,2,8,8,10
1,0,1,132,1,0,1,0,132,1,130
55,2970,56,84,55,54,1,54,66,37,82
1,0,1,280,1,0,1,0,280,1,278
1,0,1,31,1,0,1,0,31,1,30
11,26,0,11,9,2,0,3,8,8,9
11,26,2,12,10,2,0,3,10,10,11
10,21,4,11,8,3,0,3,5,4,8
1,0,1,32,1,0,1,0,32,1,31
86,7310,87,128,86,85,1,85,107,65,126
9,21,3,11,8,1,0,4,9,7,9
12,30,0,12,10,3,0,1,6,6,12
100,9900,101,114,100,99,1,99,22,8,112
11,24,3,13,10,2,0,3,10,10,10
12,26,4,14,11,3,0,2,7,6,14
