graph_id,u,scc_size,scc_edges_inside,scc_edges_to_other,scc_largest_path_sum,scc_longest_dfs_path,outdegree_inside_scc,outdegree_outside_scc,indegree_inside_scc,longest_path_using_dfs_paths,first_dfs_path_used,y
2,6,30,254,0,30,30,13,0,8,25,25,25
2,7,30,254,0,30,30,8,0,10,27,27,27
2,8,30,254,0,30,30,10,0,9,25,25,25
2,9,30,254,0,30,30,6,0,9,28,28,28
2,10,30,254,0,30,30,9,0,12,30,30,30
2,11,30,254,0,30,30,6,0,2,14,14,14
2,12,30,254,0,30,30,9,0,9,14,14,14
2,13,30,254,0,30,30,5,0,9,25,25,25
2,14,30,254,0,30,30,6,0,10,20,20,20
2,15,30,254,0,30,30,12,0,6,21,21,21
2,16,30,254,0,30,30,7,0,6,23,23,23
2,17,30,254,0,30,30,9,0,6,19,19,19
2,18,30,254,0,30,30,7,0,8,24,24,24
2,19,30,254,0,30,30,13,0,7,6,6,6
2,20,30,254,0,30,30,11,0,9,12,12,12
2,21,30,254,0,30,30,9,0,8,20,20,20
2,22,30,254,0,30,30,10,0,6,8,8,8
2,23,30,254,0,30,30,11,0,9,8,8,8
2,24,30,254,0,30,30,7,0,8,22,22,22
2,25,30,254,0,30,30,5,0,10,18,18,18
2,26,30,254,0,30,30,7,0,9,10,10,10
2,27,30,254,0,30,30,7,0,9,9,9,9
2,28,30,254,0,30,30,6,0,6,18,18,18
2,29,30,254,0,30,30,8,0,4,7,7,7
3,0,30,179,0,30,30,9,0,10,29,29,29
3,1,30,179,0,30,30,3,0,4,29,29,29
3,2,30,179,0,30,30,6,0,6,8,8,8
3,3,30,179,0,30,30,4,0,4,28,28,28
3,4,30,179,0,30,30,13,0,7,30,30,30
3,5,30,179,0,30,30,7,0,9,28,28,28
3,6,30,179,0,30,30,7,0,9,26,26,26
3,7,30,179,0,30,30,3,0,3,30,30,30
3,8,30,179,0,30,30,8,0,8,25,25,25
3,9,30,179,0,30,30,4,0,4,29,29,29
3,10,30,179,0,30,30,5,0,5,21,21,21
3,11,30,179,0,30,30,6,0,2,18,18,18
3,12,30,179,0,30,30,5,0,5,26,26,26
3,13,30,179,0,30,30,4,0,8,21,21,21
3,14,30,179,0,30,30,7,0,5,27,27,27
3,15,30,179,0,30,30,4,0,9,20,20,20
3,16,30,179,0,30,30,5,0,10,20,20,20
3,17,30,179,0,30,30,5,0,12,6,6,6
3,18,30,179,0,30,30,6,0,3,17,17,17
3,19,30,179,0,30,30,6,0,5,26,26,26
3,20,30,179,0,30,30,7,0,4,23,23,23
3,21,30,179,0,30,30,8,0,3,14,14,14
3,22,30,179,0,30,30,6,0,7,16,16,16
3,23,30,179,0,30,30,7,0,6,8,8,8
3,24,30,179,0,30,30,4,0,9,14,14,14
3,25,30,179,0,30,30,1,0,5,27,27,27
3,26,30,179,0,30,30,2,0,5,24,24,24
3,27,30,179,0,30,30,8,0,5,7,7,7
3,28,30,179,0,30,30,11,0,4,14,14,14
3,29,30,179,0,30,30,8,0,3,5,5,5
4,0,30,185,0,30,30,6,0,6,29,29,29
4,1,30,185,0,30,30,4,0,9,30,30,30
4,2,30,185,0,30,30,5,0,9,30,30,30
4,3,30,185,0,30,30,10,0,7,26,26,26
4,4,30,185,0,30,30,6,0,4,30,30,30
4,5,30,185,0,30,30,5,0,5,26,26,26
4,6,30,185,0,30,30,7,0,4,7,7,7
4,7,30,185,0,30,30,6,0,5,27,27,27
4,8,30,185,0,30,30,6,0,5,28,28,28
4,9,30,185,0,30,30,7,0,3,8,8,8
4,10,30,185,0,30,30,5,0,10,28,28,28
4,11,30,185,0,30,30,4,0,6,24,24,24
4,12,30,185,0,30,30,5,0,7,17,17,17
4,13,30,185,0,30,30,7,0,3,30,30,30
4,14,30,185,0,30,30,6,0,10,20,20,20
4,15,30,185,0,30,30,6,0,7,28,28,28
4,16,30,185,0,30,30,7,0,6,20,20,20
4,17,30,185,0,30,30,9,0,5,10,10,10
4,18,30,185,0,30,30,9,0,5,21,21,21
4,19,30,185,0,30,30,7,0,8,22,22,22
4,20,30,185,0,30,30,4,0,5,29,29,29
4,21,30,185,0,30,30,6,0,2,9,9,9
4,22,30,185,0,30,30,9,0,6,16,16,16
4,23,30,185,0,30,30,2,0,11,27,27,27
4,24,30,185,0,30,30,6,0,8,24,24,24
4,25,30,185,0,30,30,6,0,7,6,6,6
4,26,30,185,0,30,30,6,0,3,15,15,15
4,27,30,185,0,30,30,7,0,4,13,13,13
4,28,30,185,0,30,30,7,0,5,12,12,12
4,29,30,185,0,30,30,5,0,10,7,7,7
5,0,30,277,0,30,30,10,0,7,30,30,30
5,1,30,277,0,30,30,11,0,15,26,26,26
5,2,30,277,0,30,30,9,0,12,30,30,30
5,3,30,277,0,30,30,8,0,13,29,29,29
5,4,30,277,0,30,30,13,0,7,27,27,27
5,5,30,277,0,30,30,10,0,10,20,20,20
5,6,30,277,0,30,30,9,0,8,27,27,27
5,7,30,277,0,30,30,11,0,10,28,28,28
5,8,30,277,0,30,30,9,0,14,23,23,23
5,9,30,277,0,30,30,8,0,5,26,26,26
5,10,30,277,0,30,30,7,0,10,27,27,27
5,11,30,277,0,30,30,12,0,7,22,22,22
5,12,30,277,0,30,30,10,0,8,29,29,29
5,13,30,277,0,30,30,8,0,10,18,18,18
5,14,30,277,0,30,30,9,0,4,9,9,9
5,15,30,277,0,30,30,11,0,9,12,12,12
5,16,30,277,0,30,30,9,0,9,8,8,8
5,17,30,277,0,30,30,11,0,5,9,9,9
5,18,30,277,0,30,30,7,0,11,19,19,19
5,19,30,277,0,30,30,8,0,12,26,26,26
5,20,30,277,0,30,30,13,0,8,17,17,17
5,21,30,277,0,30,30,6,0,9,19,19,19
5,22,30,277,0,30,30,3,0,8,28,28,28
5,23,30,277,0,30,30,10,0,8,19,19,19
5,24,30,277,0,30,30,8,0,10,18,18,18
5,25,30,277,0,30,30,11,0,5,11,11,11
5,26,30,277,0,30,30,12,0,8,7,7,7
5,27,30,277,0,30,30,9,0,13,6,6,6
5,28,30,277,0,30,30,5,0,12,13,13,13
5,29,30,277,0,30,30,10,0,10,7,7,7
6,0,30,306,0,30,30,17,0,8,30,30,30
6,1,30,306,0,30,30,12,0,11,30,30,30
6,2,30,306,0,30,30,10,0,12,29,29,29
6,3,30,306,0,30,30,11,0,12,26,26,26
6,4,30,306,0,30,30,11,0,6,27,27,27
6,5,30,306,0,30,30,7,0,16,29,29,29
6,6,30,306,0,30,30,10,0,8,28,28,28
6,7,30,306,0,30,30,14,0,11,28,28,28
6,8,30,306,0,30,30,15,0,7,17,17,17
6,9,30,306,0,30,30,9,0,14,28,28,28
6,10,30,306,0,30,30,10,0,12,25,25,25
6,11,30,306,0,30,30,9,0,9,26,26,26
6,12,30,306,0,30,30,4,0,8,27,27,27
6,13,30,306,0,30,30,10,0,10,19,19,19
6,14,30,306,0,30,30,11,0,14,26,26,26
6,15,30,306,0,30,30,8,0,10,20,20,20
6,16,30,306,0,30,30,9,0,6,6,6,6
6,17,30,306,0,30,30,10,0,15,22,22,22
6,18,30,306,0,30,30,5,0,10,20,20,20
6,19,30,306,0,30,30,10,0,13,7,7,7
6,20,30,306,0,30,30,8,0,9,23,23,23
6,21,30,306,0,30,30,11,0,5,13,13,13
6,22,30,306,0,30,30,12,0,11,16,16,16
6,23,30,306,0,30,30,12,0,11,12,12,12
6,24,30,306,0,30,30,9,0,7,10,10,10
6,25,30,306,0,30,30,11,0,12,10,10,10
6,26,30,306,0,30,30,11,0,10,9,9,9
6,27,30,306,0,30,30,7,0,9,9,9,9
6,28,30,306,0,30,30,10,0,8,8,8,8
6,29,30,306,0,30,30,13,0,12,8,8,8
7,0,30,245,0,30,30,8,0,8,30,30,30
7,1,30,245,0,30,30,7,0,6,27,27,27
7,2,30,245,0,30,30,10,0,5,26,26,26
7,3,30,245,0,30,30,5,0,12,30,30,30
7,4,30,245,0,30,30,9,0,12,26,26,26
7,5,30,245,0,30,30,6,0,7,29,29,29
7,6,30,245,0,30,30,16,0,5,22,22,22
7,7,30,245,0,30,30,6,0,7,28,28,28
7,8,30,245,0,30,30,6,0,9,28,28,28
7,9,30,245,0,30,30,14,0,10,22,22,22
7,10,30,245,0,30,30,6,0,10,23,23,23
7,11,30,245,0,30,30,4,0,6,26,26,26
7,12,30,245,0,30,30,7,0,8,29,29,29
7,13,30,245,0,30,30,6,0,5,22,22,22
7,14,30,245,0,30,30,4,0,6,21,21,21
7,15,30,245,0,30,30,7,0,9,20,20,20
7,16,30,245,0,30,30,10,0,8,12,12,12
7,17,30,245,0,30,30,12,0,8,20,20,20
7,18,30,245,0,30,30,10,0,12,11,11,11
7,19,30,245,0,30,30,7,0,11,16,16,16
7,20,30,245,0,30,30,9,0,12,16,16,16
7,21,30,245,0,30,30,9,0,9,10,10,10
7,22,30,245,0,30,30,10,0,5,7,7,7
7,23,30,245,0,30,30,10,0,6,5,5,5
7,24,30,245,0,30,30,6,0,8,11,11,11
7,25,30,245,0,30,30,6,0,10,10,10,10
7,26,30,245,0,30,30,8,0,11,11,11,11
7,27,30,245,0,30,30,10,0,4,6,6,6
7,28,30,245,0,30,30,4,0,7,20,20,20
7,29,30,245,0,30,30,13,0,9,8,8,8
8,0,30,216,0,30,30,6,0,11,30,30,30
8,1,30,216,0,30,30,12,0,6,23,23,23
8,2,30,216,0,30,30,9,0,6,28,28,28
8,3,30,216,0,30,30,8,0,10,17,17,17
8,4,30,216,0,30,30,9,0,8,27,27,27
8,5,30,216,0,30,30,8,0,7,27,27,27
8,6,30,216,0,30,30,3,0,6,30,30,30
8,7,30,216,0,30,30,4,0,6,27,27,27
8,8,30,216,0,30,30,6,0,7,25,25,25
8,9,30,216,0,30,30,10,0,7,29,29,29
8,10,30,216,0,30,30,7,0,9,24,24,24
8,11,30,216,0,30,30,6,0,5,18,18,18
8,12,30,216,0,30,30,5,0,5,19,19,19
8,13,30,216,0,30,30,6,0,8,22,22,22
8,14,30,216,0,30,30,6,0,12,26,26,26
8,15,30,216,0,30,30,8,0,6,8,8,8
8,16,30,216,0,30,30,13,0,8,20,20,20
8,17,30,216,0,30,30,9,0,8,21,21,21
8,18,30,216,0,30,30,11,0,10,14,14,14
8,19,30,216,0,30,30,6,0,5,7,7,7
8,20,30,216,0,30,30,7,0,7,15,15,15
8,21,30,216,0,30,30,4,0,5,23,23,23
8,22,30,216,0,30,30,7,0,3,7,7,7
8,23,30,216,0,30,30,6,0,4,13,13,13
8,24,30,216,0,30,30,8,0,14,18,18,18
8,25,30,216,0,30,30,9,0,5,8,8,8
8,26,30,216,0,30,30,5,0,6,14,14,14
8,27,30,216,0,30,30,6,0,7,9,9,9
8,28,30,216,0,30,30,6,0,3,16,16,16
8,29,30,216,0,30,30,6,0,12,13,13,13
9,0,30,194,0,30,30,6,0,4,29,29,29
9,1,30,194,0,30,30,5,0,6,30,30,30
9,2,30,194,0,30,30,4,0,7,29,29,29
9,3,30,194,0,30,30,7,0,8,29,29,29
9,4,30,194,0,30,30,4,0,5,26,26,26
9,5,30,194,0,30,30,4,0,3,19,19,19
9,6,30,194,0,30,30,10,0,4,28,28,28
9,7,30,194,0,30,30,6,0,9,30,30,30
9,8,30,194,0,30,30,6,0,4,28,28,28
9,9,30,194,0,30,30,8,0,15,28,28,28
9,10,30,194,0,30,30,5,0,6,29,29,29
9,11,30,194,0,30,30,8,0,7,20,20,20
9,12,30,194,0,30,30,13,0,8,17,17,17
9,13,30,194,0,30,30,4,0,8,28,28,28
9,14,30,194,0,30,30,7,0,5,15,15,15
9,15,30,194,0,30,30,8,0,9,24,24,24
9,16,30,194,0,30,30,8,0,6,14,14,14
9,17,30,194,0,30,30,3,0,7,29,29,29
9,18,30,194,0,30,30,10,0,5,19,19,19
9,19,30,194,0,30,30,6,0,2,8,8,8
9,20,30,194,0,30,30,5,0,3,28,28,28
9,21,30,194,0,30,30,7,0,7,25,25,25
9,22,30,194,0,30,30,6,0,6,13,13,13
9,23,30,194,0,30,30,6,0,5,7,7,7
9,24,30,194,0,30,30,9,0,4,6,6,6
9,25,30,194,0,30,30,6,0,6,23,23,23
9,26,30,194,0,30,30,5,0,8,15,15,15
9,27,30,194,0,30,30,5,0,9,12,12,12
9,28,30,194,0,30,30,5,0,9,13,13,13
9,29,30,194,0,30,30,8,0,9,11,11,11
10,0,30,283,0,30,30,11,0,10,30,30,30
10,1,30,283,0,30,30,12,0,11,29,29,29
10,2,30,283,0,30,30,10,0,12,27,27,27
10,3,30,283,0,30,30,5,0,10,30,30,30
10,4,30,283,0,30,30,5,0,10,28,28,28
10,5,30,283,0,30,30,14,0,6,27,27,27
10,6,30,283,0,30,30,12,0,10,26,26,26
10,7,30,283,0,30,30,8,0,12,30,30,30
10,8,30,283,0,30,30,12,0,7,28,28,28
10,9,30,283,0,30,30,8,0,15,26,26,26
10,10,30,283,0,30,30,9,0,10,20,20,20
10,11,30,283,0,30,30,10,0,6,24,24,24
10,12,30,283,0,30,30,11,0,9,17,17,17
10,13,30,283,0,30,30,8,0,10,25,25,25
10,14,30,283,0,30,30,10,0,9,23,23,23
10,15,30,283,0,30,30,10,0,7,16,16,16
10,16,30,283,0,30,30,13,0,12,21,21,21
10,17,30,283,0,30,30,10,0,10,19,19,19
10,18,30,283,0,30,30,8,0,9,21,21,21
10,19,30,283,0,30,30,8,0,6,9,9,9
10,20,30,283,0,30,30,10,0,13,10,10,10
10,21,30,283,0,30,30,7,0,10,15,15,15
10,22,30,283,0,30,30,9,0,5,11,11,11
10,23,30,283,0,30,30,7,0,10,16,16,16
10,24,30,283,0,30,30,10,0,8,8,8,8
10,25,30,283,0,30,30,7,0,9,17,17,17
10,26,30,283,0,30,30,12,0,13,6,6,6
10,27,30,283,0,30,30,10,0,9,18,18,18
10,28,30,283,0,30,30,12,0,11,7,7,7
10,29,30,283,0,30,30,5,0,4,13,13,13
11,0,30,236,0,30,30,7,0,9,27,27,27
11,1,30,236,0,30,30,10,0,10,29,29,29
11,2,30,236,0,30,30,10,0,8,27,27,27
11,3,30,236,0,30,30,7,0,9,21,21,21
11,4,30,236,0,30,30,3,0,9,30,30,30
11,5,30,236,0,30,30,7,0,8,29,29,29
11,6,30,236,0,30,30,4,0,11,28,28,28
11,7,30,236,0,30,30,8,0,10,29,29,29
11,8,30,236,0,30,30,7,0,7,26,26,26
11,9,30,236,0,30,30,8,0,8,28,28,28
11,10,30,236,0,30,30,6,0,8,28,28,28
11,11,30,236,0,30,30,8,0,11,28,28,28
11,12,30,236,0,30,30,8,0,6,22,22,22
11,13,30,236,0,30,30,8,0,9,20,20,20
11,14,30,236,0,30,30,4,0,7,29,29,29
11,15,30,236,0,30,30,4,0,5,11,11,11
11,16,30,236,0,30,30,5,0,4,18,18,18
11,17,30,236,0,30,30,7,0,11,19,19,19
11,18,30,236,0,30,30,11,0,4,17,17,17
11,19,30,236,0,30,30,9,0,7,15,15,15
11,20,30,236,0,30,30,10,0,6,21,21,21
11,21,30,236,0,30,30,7,0,4,19,19,19
11,22,30,236,0,30,30,10,0,10,16,16,16
11,23,30,236,0,30,30,11,0,5,10,10,10
11,24,30,236,0,30,30,8,0,11,16,16,16
11,25,30,236,0,30,30,6,0,5,7,7,7
11,26,30,236,0,30,30,10,0,8,6,6,6
11,27,30,236,0,30,30,10,0,10,18,18,18
11,28,30,236,0,30,30,13,0,10,7,7,7
11,29,30,236,0,30,30,10,0,6,6,6,6
12,0,30,262,0,30,30,3,0,10,30,30,30
12,1,30,262,0,30,30,10,0,8,29,29,29
12,2,30,262,0,30,30,7,0,11,28,28,28
12,3,30,262,0,30,30,6,0,11,29,29,29
12,4,30,262,0,30,30,10,0,7,28,28,28
12,5,30,262,0,30,30,6,0,9,28,28,28
12,6,30,262,0,30,30,8,0,13,27,27,27
12,7,30,262,0,30,30,9,0,5,26,26,26
12,8,30,262,0,30,30,14,0,7,18,18,18
12,9,30,262,0,30,30,4,0,9,25,25,25
12,10,30,262,0,30,30,15,0,8,17,17,17
12,11,30,262,0,30,30,12,0,10,23,23,23
12,12,30,262,0,30,30,12,0,10,26,26,26
12,13,30,262,0,30,30,11,0,9,24,24,24
12,14,30,262,0,30,30,10,0,12,19,19,19
12,15,30,262,0,30,30,9,0,9,17,17,17
12,16,30,262,0,30,30,8,0,10,28,28,28
12,17,30,262,0,30,30,7,0,5,16,16,16
12,18,30,262,0,30,30,12,0,11,6,6,6
12,19,30,262,0,30,30,7,0,7,21,21,21
12,20,30,262,0,30,30,8,0,8,13,13,13
12,21,30,262,0,30,30,9,0,4,5,5,5
12,22,30,262,0,30,30,11,0,5,15,15,15
12,23,30,262,0,30,30,7,0,9,23,23,23
12,24,30,262,0,30,30,13,0,9,11,11,11
12,25,30,262,0,30,30,7,0,9,12,12,12
12,26,30,262,0,30,30,6,0,9,14,14,14
12,27,30,262,0,30,30,3,0,11,24,24,24
12,28,30,262,0,30,30,7,0,12,6,6,6
12,29,30,262,0,30,30,11,0,5,4,4,4
13,0,30,250,0,30,30,3,0,13,30,30,30
13,1,30,250,0,30,30,7,0,10,28,28,28
13,2,30,250,0,30,30,14,0,8,28,28,28
13,3,30,250,0,30,30,9,0,10,25,25,25
13,4,30,250,0,30,30,6,0,9,29,29,29
13,5,30,250,0,30,30,8,0,6,30,30,30
13,6,30,250,0,30,30,8,0,8,27,27,27
13,7,30,250,0,30,30,9,0,6,17,17,17
13,8,30,250,0,30,30,12,0,7,28,28,28
13,9,30,250,0,30,30,9,0,6,25,25,25
13,10,30,250,0,30,30,9,0,7,28,28,28
13,11,30,250,0,30,30,7,0,9,22,22,22
13,12,30,250,0,30,30,9,0,9,18,18,18
13,13,30,250,0,30,30,7,0,8,22,22,22
13,14,30,250,0,30,30,7,0,3,14,14,14
13,15,30,250,0,30,30,9,0,9,26,26,26
13,16,30,250,0,30,30,11,0,5,23,23,23
13,17,30,250,0,30,30,8,0,5,17,17,17
13,18,30,250,0,30,30,9,0,8,10,10,10
13,19,30,250,0,30,30,6,0,8,23,23,23
13,20,30,250,0,30,30,6,0,9,17,17,17
13,21,30,250,0,30,30,7,0,14,11,11,11
13,22,30,250,0,30,30,9,0,10,24,24,24
13,23,30,250,0,30,30,6,0,10,9,9,9
13,24,30,250,0,30,30,6,0,6,10,10,10
13,25,30,250,0,30,30,10,0,9,17,17,17
13,26,30,250,0,30,30,11,0,10,10,10,10
13,27,30,250,0,30,30,9,0,7,5,5,5
13,28,30,250,0,30,30,12,0,15,11,11,11
13,29,30,250,0,30,30,7,0,6,5,5,5
14,0,30,243,0,30,30,4,0,7,30,30,30
14,1,30,243,0,30,30,8,0,6,26,26,26
14,2,30,243,0,30,30,9,0,9,27,27,27
14,3,30,243,0,30,30,8,0,10,29,29,29
14,4,30,243,0,30,30,8,0,11,29,29,29
14,5,30,243,0,30,30,9,0,5,28,28,28
14,6,30,243,0,30,30,11,0,9,27,27,27
14,7,30,243,0,30,30,9,0,11,28,28,28
14,8,30,243,0,30,30,12,0,6,26,26,26
14,9,30,243,0,30,30,7,0,9,30,30,30
14,10,30,243,0,30,30,10,0,11,21,21,21
14,11,30,243,0,30,30,6,0,7,19,19,19
14,12,30,243,0,30,30,5,0,4,22,22,22
14,13,30,243,0,30,30,9,0,8,24,24,24
14,14,30,243,0,30,30,10,0,8,24,24,24
14,15,30,243,0,30,30,8,0,7,19,19,19
14,16,30,243,0,30,30,8,0,8,11,11,11
14,17,30,243,0,30,30,10,0,4,7,7,7
14,18,30,243,0,30,30,8,0,10,18,18,18
14,19,30,243,0,30,30,12,0,10,13,13,13
14,20,30,243,0,30,30,7,0,9,12,12,12
14,21,30,243,0,30,30,4,0,8,28,28,28
14,22,30,243,0,30,30,8,0,5,9,9,9
14,23,30,243,0,30,30,8,0,11,20,20,20
14,24,30,243,0,30,30,10,0,9,13,13,13
14,25,30,243,0,30,30,3,0,8,6,6,6
14,26,30,243,0,30,30,6,0,6,10,10,10
14,27,30,243,0,30,30,6,0,9,22,22,22
14,28,30,243,0,30,30,14,0,9,13,13,13
14,29,30,243,0,30,30,6,0,9,14,14,14
15,0,30,175,0,30,30,7,0,4,30,30,30
15,1,30,175,0,30,30,6,0,7,29,29,29
15,2,30,175,0,30,30,4,0,1,12,12,12
15,3,30,175,0,30,30,6,0,7,25,25,25
15,4,30,175,0,30,30,7,0,9,24,24,24
15,5,30,175,0,30,30,5,0,3,24,24,24
15,6,30,175,0,30,30,8,0,7,29,29,29
15,7,30,175,0,30,30,5,0,10,27,27,27
15,8,30,175,0,30,30,7,0,6,25,25,25
15,9,30,175,0,30,30,1,0,9,28,28,28
15,10,30,175,0,30,30,5,0,5,19,19,19
15,11,30,175,0,30,30,6,0,8,26,26,26
15,12,30,175,0,30,30,4,0,6,19,19,19
15,13,30,175,0,30,30,3,0,3,24,24,24
15,14,30,175,0,30,30,5,0,2,25,25,25
15,15,30,175,0,30,30,4,0,7,28,28,28
15,16,30,175,0,30,30,8,0,5,11,11,11
15,17,30,175,0,30,30,8,0,6,25,25,25
15,18,30,175,0,30,30,6,0,8,21,21,21
15,19,30,175,0,30,30,5,0,8,22,22,22
15,20,30,175,0,30,30,6,0,8,22,22,22
15,21,30,175,0,30,30,7,0,8,12,12,12
15,22,30,175,0,30,30,6,0,4,15,15,15
15,23,30,175,0,30,30,9,0,8,10,10,10
15,24,30,175,0,30,30,6,0,3,11,11,11
15,25,30,175,0,30,30,10,0,4,10,10,10
15,26,30,175,0,30,30,2,0,1,12,12,12
15,27,30,175,0,30,30,7,0,4,13,13,13
15,28,30,175,0,30,30,5,0,7,9,9,9
15,29,30,175,0,30,30,7,0,7,13,13,13
16,0,29,133,0,29,26,4,0,3,26,26,26
16,1,29,133,0,29,26,3,0,3,11,11,11
16,2,29,133,0,29,26,1,0,5,22,22,22
16,3,29,133,0,29,26,4,0,4,24,24,24
16,4,29,133,0,29,26,6,0,11,25,25,25
16,5,29,133,0,29,26,3,0,4,26,26,26
16,6,29,133,0,29,26,5,0,2,10,10,10
16,7,29,133,0,29,26,3,0,3,21,21,21
16,8,29,133,0,29,26,4,0,4,10,10,10
16,9,1,0,2,30,1,0,2,0,23,1,23
16,10,29,133,0,29,26,4,0,5,22,22,22
16,11,29,133,0,29,26,6,0,6,17,17,17
16,12,29,133,0,29,26,5,0,3,23,23,23
16,13,29,133,0,29,26,6,0,1,18,18,18
16,14,29,133,0,29,26,6,0,10,19,19,19
16,15,29,133,0,29,26,2,0,4,18,18,18
16,16,29,133,0,29,26,6,0,3,21,21,21
16,17,29,133,0,29,26,4,0,6,22,22,22
16,18,29,133,0,29,26,7,0,5,18,18,18
16,19,29,133,0,29,26,5,0,2,10,10,10
16,20,29,133,0,29,26,3,0,3,16,16,16
16,21,29,133,0,29,26,5,0,3,16,16,16
16,22,29,133,0,29,26,5,0,3,17,17,17
16,23,29,133,0,29,26,5,0,5,12,12,12
16,24,29,133,0,29,26,4,0,3,21,21,21
16,25,29,133,0,29,26,4,0,4,9,9,9
16,26,29,133,0,29,26,10,0,9,11,11,11
16,27,29,133,0,29,26,4,0,8,23,23,23
16,28,29,133,0,29,26,7,0,6,17,17,17
16,29,29,133,0,29,26,2,0,5,23,23,23
17,0,30,164,0,30,29,6,0,8,29,29,29
17,1,30,164,0,30,29,7,0,9,29,29,29
17,2,30,164,0,30,29,4,0,5,27,27,27
17,3,30,164,0,30,29,5,0,4,15,15,15
17,4,30,164,0,30,29,3,0,7,26,26,26
17,5,30,164,0,30,29,2,0,10,23,23,23
17,6,30,164,0,30,29,9,0,6,25,25,25
17,7,30,164,0,30,29,8,0,5,29,29,29
17,8,30,164,0,30,29,6,0,2,26,26,26
17,9,30,164,0,30,29,5,0,4,29,29,29
17,10,30,164,0,30,29,7,0,4,27,27,27
17,11,30,164,0,30,29,8,0,10,28,28,28
17,12,30,164,0,30,29,2,0,6,22,22,22
17,13,30,164,0,30,29,2,0,5,28,28,28
17,14,30,164,0,30,29,6,0,8,25,25,25
17,15,30,164,0,30,29,5,0,5,19,19,19
17,16,30,164,0,30,29,4,0,3,23,23,23
17,17,30,164,0,30,29,7,0,6,6,6,6
17,18,30,164,0,30,29,4,0,4,14,14,14
